Batch Index;Dice Coefficient;IOU Score;Precision;Accuracy
0;0.014486444182693958;0.2420591456736035;0.007235392462462187;0.9858602285385132
1;0.06390313804149628;0.0;0.03188949450850487;0.9720458984375
2;0.01025671511888504;0.3762254901960784;0.005122224800288677;0.9897054433822632
3;0.08220898360013962;0.0;0.041002705693244934;0.9637247920036316
4;0.027388203889131546;0.0;0.013683117926120758;0.9888509511947632
5;0.10063837468624115;0.0;0.05016805976629257;0.955810546875
6;0.024932529777288437;0.0;0.012457058764994144;0.9897664785385132
7;0.09428109973669052;0.0;0.047006379812955856;0.95794677734375
8;0.08129861950874329;0.0;0.04054701328277588;0.96307373046875
9;0.058521900326013565;0.0;0.029206596314907074;0.9730021357536316
10;0.059290919452905655;0.0;0.02959165722131729;0.9737548828125
11;0.04729817062616348;0.0;0.02361484058201313;0.9791056513786316
12;0.044261593371629715;0.0;0.02210080996155739;0.9804891347885132
13;0.04535146430134773;0.0;0.02264477126300335;0.9803873896598816
14;0.03867664560675621;0.0;0.019315412268042564;0.98309326171875
15;0.04217977076768875;0.0;0.021062560379505157;0.9815267324447632
16;0.033822666853666306;0.0;0.016893703490495682;0.98516845703125
Average;0.05110571999102831;0.03636968446292247;0.025502458735204795;0.9766654407276827
